"LHS","RHS","support","confidence","lift","itemset"
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Schleiferiaceae Schleiferia}","{Classification=Rare}",0.00100110389581369,1,1.02255766233885,1
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhizobiales Cohaesibacteraceae Cohaesibacter}","{Classification=Rare}",0.00100110389581369,1,1.02255766233885,2
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Roseobacter}","{Classification=Rare}",0.00100110389581369,1,1.02255766233885,3
"{taxa=Bacteria NA Chlamydiae NA NA NA NA}","{Classification=Rare}",0.00101004232345488,1,1.02255766233885,4
"{taxa=Bacteria NA Verrucomicrobia Verrucomicrobiae Verrucomicrobiales Verrucomicrobiaceae Haloferula}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,5
"{taxa=Bacteria NA Planctomycetes Planctomycetia Pirellulales Pirellulaceae Rhodopirellula}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,6
"{taxa=Bacteria NA Actinobacteria Rubrobacteria Gaiellales NA NA}","{Classification=Rare}",0.00102344996491667,1,1.02255766233885,7
"{taxa=Bacteria NA Proteobacteria Betaproteobacteria Rhodocyclales Zoogloeaceae Zoogloea}","{Classification=Rare}",0.00102344996491667,1,1.02255766233885,8
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Cardiobacteriales Cardiobacteriaceae NA}","{Classification=Rare}",0.00103238839255787,1,1.02255766233885,9
"{taxa=Eukaryota Ochrophyta Bolidophyceae NA NA NA Bolidomonas}","{Classification=Rare}",0.00103238839255787,1,1.02255766233885,10
"{taxa=Bacteria NA Bacteroidetes Saprospiria Saprospirales Lewinellaceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101451153727548,1,1.02255766233885,11
"{taxa=Bacteria NA Bacteroidetes Saprospiria Saprospirales Lewinellaceae NA}","{Classification=Rare}",0.00103238839255787,1,1.02255766233885,12
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Granulosicoccaceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101004232345488,1,1.02255766233885,14
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Granulosicoccaceae NA}","{Classification=Rare}",0.00103685760637846,1,1.02255766233885,15
"{taxa=Eukaryota Cercozoa Cercozoa NA NA NA NA}","{Classification=Rare}",0.00103238839255787,0.995689655172414,1.01815008620808,17
"{taxa=Eukaryota Hacrobia Picozoa Picomonadea Picomonadida Picomonadidae Picomonas}","{Classification=Rare}",0.00103685760637846,1,1.02255766233885,18
"{taxa=Bacteria NA Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Cetobacterium,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,19
"{taxa=Bacteria NA Fusobacteria Fusobacteriia Fusobacteriales Fusobacteriaceae Cetobacterium}","{Classification=Rare}",0.00103685760637846,1,1.02255766233885,20
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodobacterales Rhodobacteraceae Marinibacterium}","{Classification=Rare}",0.00103685760637846,1,1.02255766233885,22
"{taxa=Bacteria NA Candidatus_Omnitrophica NA NA NA Candidatus_Omnitrophus,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,23
"{taxa=Bacteria NA Candidatus_Omnitrophica NA NA NA Candidatus_Omnitrophus}","{Classification=Rare}",0.00104132682019906,1,1.02255766233885,24
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Alteromonadales Psychromonadaceae Psychromonas,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,26
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Alteromonadales Psychromonadaceae Psychromonas}","{Classification=Rare}",0.00104132682019906,1,1.02255766233885,27
"{taxa=Bacteria NA Bacteroidetes Chitinophagia Chitinophagales Chitinophagaceae NA}","{Classification=Rare}",0.00104132682019906,1,1.02255766233885,29
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Oceanospirillales Endozoicomonaceae Endozoicomonas}","{Classification=Rare}",0.00104579603401966,1,1.02255766233885,30
"{taxa=Eukaryota Bacillariophyta Bacillariophyta Mediophyceae Hemiaulales Hemiaulaceae Cerataulina}","{Classification=Rare}",0.00102791917873727,0.982905982905983,1.00507804417921,31
"{taxa=Bacteria NA Actinobacteria Acidimicrobiia Acidimicrobiales NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101004232345488,1,1.02255766233885,32
"{taxa=Bacteria NA Actinobacteria Acidimicrobiia Acidimicrobiales NA NA}","{Classification=Rare}",0.00104579603401966,1,1.02255766233885,33
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Thioalkalispiraceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00102791917873727,1,1.02255766233885,35
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Chromatiales Thioalkalispiraceae NA}","{Classification=Rare}",0.00104579603401966,1,1.02255766233885,36
"{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Thalassiosirales Skeletonemataceae Skeletonema}","{Classification=Rare}",0.00101898075109607,0.966101694915254,0.987894690734143,38
"{taxa=Bacteria NA Acidobacteria Holophagae NA NA NA}","{Classification=Rare}",0.00105920367548145,1,1.02255766233885,39
"{taxa=Bacteria NA Actinobacteria Thermoleophilia Solirubrobacterales NA NA}","{Classification=Rare}",0.00105920367548145,1,1.02255766233885,40
"{taxa=Bacteria NA Firmicutes Bacilli Lactobacillales NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101898075109607,1,1.02255766233885,41
"{taxa=Bacteria NA Firmicutes Bacilli Lactobacillales NA NA}","{Classification=Rare}",0.00106367288930204,1,1.02255766233885,42
"{taxa=Bacteria NA Candidatus_Campbellbacteria NA NA NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00104132682019906,1,1.02255766233885,44
"{taxa=Bacteria NA Candidatus_Campbellbacteria NA NA NA NA}","{Classification=Rare}",0.00106814210312264,1,1.02255766233885,45
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Varunaivibrio,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00101004232345488,1,1.02255766233885,47
"{taxa=Bacteria NA Proteobacteria Alphaproteobacteria Rhodospirillales Rhodospirillaceae Varunaivibrio}","{Classification=Rare}",0.00106814210312264,1,1.02255766233885,48
"{taxa=Eukaryota Apicomplexa Apicomplexa NA NA NA NA}","{Classification=Rare}",0.00106814210312264,1,1.02255766233885,50
"{taxa=Archaea NA Euryarchaeota Candidatus_Thalassoarchaea NA NA NA}","{Classification=Rare}",0.00107261131694324,1,1.02255766233885,51
"{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Coscinodiscales Coscinodiscaceae Coscinodiscus}","{Classification=Rare}",0.00106367288930204,0.983471074380165,1.00565588279606,52
"{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Coscinodiscales Hemidiscaceae Actinocyclus}","{Classification=Rare}",0.00108601895840503,1,1.02255766233885,53
"{taxa=Eukaryota Bacillariophyta Bacillariophyta Coscinodiscophyceae Rhizosoleniales NA NA}","{Classification=Rare}",0.00108601895840503,1,1.02255766233885,54
"{taxa=Bacteria NA Bacteroidetes Cytophagia Cytophagales Flammeovirgaceae Reichenbachiella,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00106367288930204,1,1.02255766233885,55
"{taxa=Bacteria NA Bacteroidetes Cytophagia Cytophagales Flammeovirgaceae Reichenbachiella}","{Classification=Rare}",0.00109495738604622,1,1.02255766233885,56
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Psychroflexus,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00107708053076383,1,1.02255766233885,58
"{taxa=Bacteria NA Bacteroidetes Flavobacteriia Flavobacteriales Flavobacteriaceae Psychroflexus}","{Classification=Rare}",0.00109495738604622,1,1.02255766233885,59
"{taxa=Bacteria NA Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00105026524784025,1,1.02255766233885,61
"{taxa=Bacteria NA Firmicutes Bacilli Lactobacillales Streptococcaceae Streptococcus}","{Classification=Rare}",0.00109942659986682,1,1.02255766233885,62
"{taxa=Bacteria NA Fusobacteria Fusobacteriia Fusobacteriales NA NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00103685760637846,1,1.02255766233885,64
"{taxa=Bacteria NA Fusobacteria Fusobacteriia Fusobacteriales NA NA}","{Classification=Rare}",0.00109942659986682,1,1.02255766233885,65
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Thiotrichales Thiotrichaceae Leucothrix,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00105026524784025,1,1.02255766233885,67
"{taxa=Bacteria NA Proteobacteria Gammaproteobacteria Thiotrichales Thiotrichaceae Leucothrix}","{Classification=Rare}",0.00110836502750801,1,1.02255766233885,68
"{taxa=Bacteria NA Bacteroidetes Saprospiria Saprospirales Haliscomenobacteraceae NA,Sequencing_platform=Hiseq 2500 Rapid}","{Classification=Rare}",0.00109048817222562,1,1.02255766233885,70
"{taxa=Bacteria NA Bacteroidetes Saprospiria Saprospirales Haliscomenobacteraceae NA}","{Classification=Rare}",0.00111283424132861,1,1.02255766233885,71
